repo	in_catalog	in_repo_search	in_code_search	code_hit_count	stars	archived	updated_at	html_url
2020-nCoV/wuhan-jiayou	no	no	yes	1	0	no		https://github.com/2020-nCoV/wuhan-jiayou
A1rPun/nurture	no	no	yes	1	0	no		https://github.com/A1rPun/nurture
ABCD-rgb/lolcode-interpreter	no	no	yes	1	0	no		https://github.com/ABCD-rgb/lolcode-interpreter
AbhishekR25/cerner_2_5_2022	no	no	yes	1	0	no		https://github.com/AbhishekR25/cerner_2_5_2022
AharonSambol/AdventOfCode	no	no	yes	1	0	no		https://github.com/AharonSambol/AdventOfCode
AldCristobal/CMSC-124-Project-CodeAndDecode	no	no	yes	1	0	no		https://github.com/AldCristobal/CMSC-124-Project-CodeAndDecode
AlexaCabral/CMSC124_project	no	no	yes	1	0	no		https://github.com/AlexaCabral/CMSC124_project
Aliciahan/JavaRevisionInEnglish	no	no	yes	1	0	no		https://github.com/Aliciahan/JavaRevisionInEnglish
AngJianming/hello-world-in-every-programming-language	no	no	yes	1	0	no		https://github.com/AngJianming/hello-world-in-every-programming-language
AnmiTaliDev/crosshello	no	no	yes	1	0	no		https://github.com/AnmiTaliDev/crosshello
ArkaitzOderiz/ScrapyScraping	no	no	yes	1	0	no		https://github.com/ArkaitzOderiz/ScrapyScraping
Aspirar/hello-world	no	no	yes	1	0	no		https://github.com/Aspirar/hello-world
Association-INTech/TechTheLulz	no	no	yes	1	0	no		https://github.com/Association-INTech/TechTheLulz
BJDG-CM/hello-world	no	no	yes	1	0	no		https://github.com/BJDG-CM/hello-world
BartlomiejRasztabiga/masters-thesis	no	no	yes	1	0	no		https://github.com/BartlomiejRasztabiga/masters-thesis
Benedikt00/AFSS-DA	no	no	yes	1	0	no		https://github.com/Benedikt00/AFSS-DA
Biu-X/biu-x.org	no	no	yes	1	0	no		https://github.com/Biu-X/biu-x.org
BrunoMollo/Backend	no	no	yes	1	0	no		https://github.com/BrunoMollo/Backend
Cannabytes/cannabytes.github.io	no	no	yes	1	0	no		https://github.com/Cannabytes/cannabytes.github.io
CarlosClementBellido/Baco	no	no	yes	1	0	no		https://github.com/CarlosClementBellido/Baco
CherifSami/coq_internship	no	no	yes	1	0	no		https://github.com/CherifSami/coq_internship
ChickenHook/Anubis-pandemidestek	no	no	yes	1	0	no		https://github.com/ChickenHook/Anubis-pandemidestek
CocoaKunG/CocoaKunG	no	no	yes	1	0	no		https://github.com/CocoaKunG/CocoaKunG
CookieScript/Trace.IoI	no	no	yes	1	0	no		https://github.com/CookieScript/Trace.IoI
Cortzalno666/NectoVerse-Industries-Data	no	no	yes	1	0	no		https://github.com/Cortzalno666/NectoVerse-Industries-Data
DanielCapannini/master-thesis-daniel-capannini	no	no	yes	1	0	no		https://github.com/DanielCapannini/master-thesis-daniel-capannini
DevrimBaran/Masterarbeit	no	no	yes	1	0	no		https://github.com/DevrimBaran/Masterarbeit
Doctor0Evil/Zenith-Labs	no	no	yes	1	0	no		https://github.com/Doctor0Evil/Zenith-Labs
Docvoids/MTRPSLab4	no	no	yes	1	0	no		https://github.com/Docvoids/MTRPSLab4
DojoDanger1/predicting-hdi-a-level-project	no	no	yes	1	0	no		https://github.com/DojoDanger1/predicting-hdi-a-level-project
Duponch/viteMaDose	no	no	yes	1	0	no		https://github.com/Duponch/viteMaDose
EMarquer/report_internship	no	no	yes	1	0	no		https://github.com/EMarquer/report_internship
EPresident/UniUdBig	no	no	yes	1	0	no		https://github.com/EPresident/UniUdBig
EbrahimGabriel/lolcode-interpreter	no	no	yes	1	0	no		https://github.com/EbrahimGabriel/lolcode-interpreter
ElMaikina/utfsm-bigdata	no	no	yes	1	0	no		https://github.com/ElMaikina/utfsm-bigdata
Evincars/BachelorText	no	no	yes	1	0	no		https://github.com/Evincars/BachelorText
FatBenny99/Thesis-Verefoo	no	no	yes	1	0	no		https://github.com/FatBenny99/Thesis-Verefoo
GabrielRocha/Monografia	no	no	yes	1	0	no		https://github.com/GabrielRocha/Monografia
GeSHi/coderepo	no	no	yes	1	0	no		https://github.com/GeSHi/coderepo
General-Infinity/pigs	no	no	yes	1	0	no		https://github.com/General-Infinity/pigs
GeorgJung/Impact	no	no	yes	1	0	no		https://github.com/GeorgJung/Impact
Goostachio/reportTemplate	no	no	yes	1	0	no		https://github.com/Goostachio/reportTemplate
GregTrevellick/FilesForEveryExtension	no	no	yes	1	0	no		https://github.com/GregTrevellick/FilesForEveryExtension
GuillotSamuel/webserv	no	no	yes	1	0	no		https://github.com/GuillotSamuel/webserv
GunSafetyDwight/Beginner-Programs	no	no	yes	1	0	no		https://github.com/GunSafetyDwight/Beginner-Programs
Hemanth-Jp/Walmart_Sales_Training_App	no	no	yes	1	0	no		https://github.com/Hemanth-Jp/Walmart_Sales_Training_App
IPTV-Apps/repo	no	no	yes	1	0	no		https://github.com/IPTV-Apps/repo
Izaaq/Izaaq-FYP	no	no	yes	1	0	no		https://github.com/Izaaq/Izaaq-FYP
J-Teste/so_long	no	no	yes	1	0	no		https://github.com/J-Teste/so_long
JasonMartoux/TimelockWeb3	no	no	yes	1	0	no		https://github.com/JasonMartoux/TimelockWeb3
JesseBoogaard/isOddOrEven-collection	no	no	yes	1	0	no		https://github.com/JesseBoogaard/isOddOrEven-collection
John-Willikers/johnnyboy-scripts	no	yes	yes	1	0	no	2021-08-19T21:12:56Z	https://github.com/John-Willikers/johnnyboy-scripts
JoshAshby/BOB-Documentation	no	no	yes	1	0	no		https://github.com/JoshAshby/BOB-Documentation
JoshFinkel/anotherTest	no	no	yes	1	0	no		https://github.com/JoshFinkel/anotherTest
JulianBierbaum/da-paper	no	no	yes	1	0	no		https://github.com/JulianBierbaum/da-paper
K4-pi/Java	no	no	yes	1	0	no		https://github.com/K4-pi/Java
Keith-S-Thompson/fizzbuzz-polyglot	no	no	yes	1	0	no		https://github.com/Keith-S-Thompson/fizzbuzz-polyglot
KingWile/willard.sentence.org	no	no	yes	1	0	no		https://github.com/KingWile/willard.sentence.org
Kojey/NPSC	no	no	yes	1	0	no		https://github.com/Kojey/NPSC
KrazIvan/Multisoft-Code-Solutions	no	no	yes	1	0	no		https://github.com/KrazIvan/Multisoft-Code-Solutions
MKolman/advent-of-code	no	no	yes	1	0	no		https://github.com/MKolman/advent-of-code
MTison/FrontEndPerformanceInReactBasedApplications_BAP	no	no	yes	1	0	no		https://github.com/MTison/FrontEndPerformanceInReactBasedApplications_BAP
Mahdi-196/HELLO-WORLD	no	no	yes	1	0	no		https://github.com/Mahdi-196/HELLO-WORLD
ManuInDenWolken/Hello-World-collection	no	no	yes	1	0	no		https://github.com/ManuInDenWolken/Hello-World-collection
MarcoPolo/datastructures	no	no	yes	1	0	no		https://github.com/MarcoPolo/datastructures
MattiaFoglia/HelloWorld_Lol	no	yes	yes	1	0	no	2024-11-29T00:28:59Z	https://github.com/MattiaFoglia/HelloWorld_Lol
MaulanaGilang/Buku-TA	no	no	yes	1	0	no		https://github.com/MaulanaGilang/Buku-TA
Me-Phew/square-matrix	no	no	yes	1	0	no		https://github.com/Me-Phew/square-matrix
Meme1079/LOLSCRIPT	no	no	yes	1	0	no		https://github.com/Meme1079/LOLSCRIPT
MichaelSun48/LOLCODE_TTT	no	yes	yes	1	0	no	2020-08-27T17:19:23Z	https://github.com/MichaelSun48/LOLCODE_TTT
NLnetLabs/CSWDNS	no	no	yes	1	0	no		https://github.com/NLnetLabs/CSWDNS
NTMTech/gsb_extranet	no	no	yes	1	0	no		https://github.com/NTMTech/gsb_extranet
NVedsted/Lets-Calculate-BMI	no	no	yes	1	0	no		https://github.com/NVedsted/Lets-Calculate-BMI
Naoufalbzz/BP_backups_2024-2025	no	no	yes	1	0	no		https://github.com/Naoufalbzz/BP_backups_2024-2025
Noname-29-lnin/DTUD	no	no	yes	1	0	no		https://github.com/Noname-29-lnin/DTUD
Noname-29-lnin/Sort_on_FPGA	no	no	yes	1	0	no		https://github.com/Noname-29-lnin/Sort_on_FPGA
Palitraq/hapka.lol	no	no	yes	1	0	no		https://github.com/Palitraq/hapka.lol
Prithvirajbilla/helloworld	no	no	yes	1	0	no		https://github.com/Prithvirajbilla/helloworld
Programming-Paradigms-2018-19/code	no	no	yes	1	0	no		https://github.com/Programming-Paradigms-2018-19/code
RafalGrzegorzek/Aplikacja-mobilna	no	no	yes	1	0	no		https://github.com/RafalGrzegorzek/Aplikacja-mobilna
Ravanger101/Helloz-MyContribution	no	no	yes	1	0	no		https://github.com/Ravanger101/Helloz-MyContribution
ReciHub/FunnyAlgorithms	no	no	yes	1	0	no		https://github.com/ReciHub/FunnyAlgorithms
RodFlores27/CMSC124Project	no	no	yes	1	0	no		https://github.com/RodFlores27/CMSC124Project
ScarVite/Scar	no	no	yes	1	0	no		https://github.com/ScarVite/Scar
Sharp-Team/text-editor-javadesk	no	no	yes	1	0	no		https://github.com/Sharp-Team/text-editor-javadesk
Shembou/praca_magisterska	no	no	yes	1	0	no		https://github.com/Shembou/praca_magisterska
SkandaSiva/sw-llm	no	no	yes	1	0	no		https://github.com/SkandaSiva/sw-llm
SnipyJulmy/MSE_1617_PA	no	no	yes	1	0	no		https://github.com/SnipyJulmy/MSE_1617_PA
TYehan/Hello-World	no	no	yes	1	0	no		https://github.com/TYehan/Hello-World
Th3-0b3l1sk/CTFs	no	no	yes	1	0	no		https://github.com/Th3-0b3l1sk/CTFs
TheKaushikGoswami/hello-world	no	no	yes	1	0	no		https://github.com/TheKaushikGoswami/hello-world
TheRenegadeCoder/sample-programs	no	no	yes	1	0	no		https://github.com/TheRenegadeCoder/sample-programs
TheaQG/TexFiles_MSc	no	no	yes	1	0	no		https://github.com/TheaQG/TexFiles_MSc
ThomInsa/etudeBiblio	no	no	yes	1	0	no		https://github.com/ThomInsa/etudeBiblio
Tobias-Schoch/SSS	no	no	yes	1	0	no		https://github.com/Tobias-Schoch/SSS
Tom-the-Bomb/CCC-Solutions	no	no	yes	1	0	no		https://github.com/Tom-the-Bomb/CCC-Solutions
VChuzlov/SA	no	no	yes	1	0	no		https://github.com/VChuzlov/SA
VGAFIB/autoTRON	no	no	yes	1	0	no		https://github.com/VGAFIB/autoTRON
VaeterchenFrost/gpusat-VISU	no	no	yes	1	0	no		https://github.com/VaeterchenFrost/gpusat-VISU
WHU-MSC/WHUMSC2023New	no	no	yes	1	0	no		https://github.com/WHU-MSC/WHUMSC2023New
WannSea/boat-core-v2	no	no	yes	1	0	no		https://github.com/WannSea/boat-core-v2
WhatsHisIdentifierr/NoKey	no	no	yes	1	0	no		https://github.com/WhatsHisIdentifierr/NoKey
Willenbrink/masterthesis	no	no	yes	1	0	no		https://github.com/Willenbrink/masterthesis
Xeyo-Developer/HelloWorld	no	no	yes	1	0	no		https://github.com/Xeyo-Developer/HelloWorld
YuriAndropov234/Hello-World-	no	no	yes	1	0	no		https://github.com/YuriAndropov234/Hello-World-
Zeeshan5249/Tekla-Structures-3D-Optimisation	no	no	yes	1	0	no		https://github.com/Zeeshan5249/Tekla-Structures-3D-Optimisation
ZeusWPI/esoterische_introavond	no	no	yes	1	0	no		https://github.com/ZeusWPI/esoterische_introavond
abhisek247767/Hello-World	no	no	yes	1	0	no		https://github.com/abhisek247767/Hello-World
accessgames/accessgames.github.io	no	no	yes	1	0	no		https://github.com/accessgames/accessgames.github.io
aduros/trollcat	no	no	yes	1	0	no		https://github.com/aduros/trollcat
alexanderthclark/Matplotlib-for-Storytellers	no	no	yes	1	0	no		https://github.com/alexanderthclark/Matplotlib-for-Storytellers
algorithm-archivists/algorithm-archive	no	no	yes	1	0	no		https://github.com/algorithm-archivists/algorithm-archive
alxshine/dual-rail	no	no	yes	1	0	no		https://github.com/alxshine/dual-rail
alxzdani/LOLCODE-interpreter-cocoy-dani-kyro	no	no	yes	1	0	no		https://github.com/alxzdani/LOLCODE-interpreter-cocoy-dani-kyro
amanogawa01/Tent	no	no	yes	1	0	no		https://github.com/amanogawa01/Tent
amtuazon4/PyGUI	no	no	yes	1	0	no		https://github.com/amtuazon4/PyGUI
anishgoyal1108/single-cycle-MIPS-processor	no	no	yes	1	0	no		https://github.com/anishgoyal1108/single-cycle-MIPS-processor
approvers/RADWIMPS	no	no	yes	1	0	no		https://github.com/approvers/RADWIMPS
araujoarthur/In1HourEmailSwap	no	no	yes	1	0	no		https://github.com/araujoarthur/In1HourEmailSwap
arielgg46/Thesis	no	no	yes	1	0	no		https://github.com/arielgg46/Thesis
arjuncvinod/Hello-World-in-Different-Languages	no	no	yes	1	0	no		https://github.com/arjuncvinod/Hello-World-in-Different-Languages
asandova-ui/SEPA_RTP	no	no	yes	1	0	no		https://github.com/asandova-ui/SEPA_RTP
asandova-ui/SEPA_RequestToPay	no	no	yes	1	0	no		https://github.com/asandova-ui/SEPA_RequestToPay
atityushina/master_progr_2_year	no	no	yes	1	0	no		https://github.com/atityushina/master_progr_2_year
austinbyers/LOLcat	no	no	yes	1	0	no		https://github.com/austinbyers/LOLcat
bajajvinamr/HacktoberFest2020	no	no	yes	1	0	no		https://github.com/bajajvinamr/HacktoberFest2020
bart-de-paepe/bachelorproef	no	no	yes	1	0	no		https://github.com/bart-de-paepe/bachelorproef
bearddan2000/lolcode-cli-hello-world	no	no	yes	1	0	no		https://github.com/bearddan2000/lolcode-cli-hello-world
benharri/benbot	no	no	yes	1	0	no		https://github.com/benharri/benbot
bjouhier/node-lol	no	no	yes	1	0	no		https://github.com/bjouhier/node-lol
blongden/lolcode-php	no	no	yes	1	0	no		https://github.com/blongden/lolcode-php
bluebat/mt9x9	no	no	yes	1	0	no		https://github.com/bluebat/mt9x9
bohde/mondp	no	no	yes	1	0	no		https://github.com/bohde/mondp
brianium/blog	no	no	yes	1	0	no		https://github.com/brianium/blog
brobro12235/fullscreen-launcher	no	no	yes	1	0	no		https://github.com/brobro12235/fullscreen-launcher
bsevangelista/cmsc124-project	no	no	yes	1	0	no		https://github.com/bsevangelista/cmsc124-project
cbrepp/lolchess	no	yes	yes	1	0	no	2024-12-18T02:59:34Z	https://github.com/cbrepp/lolchess
chenxingqiang/thinkbase-project	no	no	yes	1	0	no		https://github.com/chenxingqiang/thinkbase-project
chunfeilung/fizzbuzz	no	no	yes	1	0	no		https://github.com/chunfeilung/fizzbuzz
codex-iter/Hello-Esolangs	no	no	yes	1	0	no		https://github.com/codex-iter/Hello-Esolangs
datphhe130906/FPTU	no	no	yes	1	0	no		https://github.com/datphhe130906/FPTU
david-dewanto/Proposal_Tugas_Akhir-David_Dewanto-18222027	no	no	yes	1	0	no		https://github.com/david-dewanto/Proposal_Tugas_Akhir-David_Dewanto-18222027
defconradio/localpleb	no	no	yes	1	0	no		https://github.com/defconradio/localpleb
dipaola-c/tesina2026	no	no	yes	1	0	no		https://github.com/dipaola-c/tesina2026
dipenluitel/hacktoberfest	no	no	yes	1	0	no		https://github.com/dipenluitel/hacktoberfest
donno2048/Quines	no	no	yes	1	0	no		https://github.com/donno2048/Quines
dtbbbb/dahood	no	no	yes	1	0	no		https://github.com/dtbbbb/dahood
duckspike/twat	no	no	yes	1	0	no		https://github.com/duckspike/twat
dwladdimiroc/phd-thesis-sorbonne-universite	no	no	yes	1	0	no		https://github.com/dwladdimiroc/phd-thesis-sorbonne-universite
eddygrinder/LaRE_LaTeX	no	no	yes	1	0	no		https://github.com/eddygrinder/LaRE_LaTeX
eevee/project-euler	no	no	yes	1	0	no		https://github.com/eevee/project-euler
egegirit/dns-analyse	no	no	yes	1	0	no		https://github.com/egegirit/dns-analyse
emilyantosch/ba	no	no	yes	1	0	no		https://github.com/emilyantosch/ba
epicdude99/da_hood_leaks	no	yes	yes	1	0	no	2024-05-27T12:33:20Z	https://github.com/epicdude99/da_hood_leaks
esit1/Praxisprojekt-Entwicklung-einer-Client-Server-Architektur	no	no	yes	1	0	no		https://github.com/esit1/Praxisprojekt-Entwicklung-einer-Client-Server-Architektur
eugeniu-u/qtk_thesis	no	no	yes	1	0	no		https://github.com/eugeniu-u/qtk_thesis
fairay/Modeling-7sem	no	no	yes	1	0	no		https://github.com/fairay/Modeling-7sem
fettstorch/masters-thesis	no	no	yes	1	0	no		https://github.com/fettstorch/masters-thesis
focat69/celestalx	no	no	yes	1	0	no		https://github.com/focat69/celestalx
forflo/yodl	no	no	yes	1	0	no		https://github.com/forflo/yodl
freehackquest/2015-tasks	no	no	yes	1	0	no		https://github.com/freehackquest/2015-tasks
gauthamzz/John-Cena	no	no	yes	1	0	no		https://github.com/gauthamzz/John-Cena
